scenario,M,K,N,RTL_cycles,model_compute_cycles,model_dma_cycles,model_total_cycles,gap_cycles,gap_pct
random_080,43,53,98,2045,8,216,224,1821,89.04645476772616
random_081,101,150,88,8565,24,1153,1177,7388,86.25802685347344
random_082,145,70,117,7665,16,1029,1045,6620,86.36660143509458
random_083,202,65,149,14965,24,2044,2068,12897,86.18108920815234
random_084,160,216,3,8615,16,1117,1133,7482,86.84852002321533
random_085,180,37,253,12265,16,1235,1251,11014,89.80024459845087
random_086,60,232,183,9295,48,1579,1627,7668,82.49596557288865
random_087,242,3,246,10985,16,1599,1615,9370,85.29813381884388
random_088,236,78,154,17545,24,2344,2368,15177,86.50327728697634
random_089,186,229,121,18505,32,2536,2568,15937,86.1226695487706
random_090,204,136,79,16025,24,2062,2086,13939,86.98283931357254
random_091,181,163,78,14205,24,1859,1883,12322,86.74410418866596
random_092,33,102,8,1465,8,187,195,1270,86.68941979522185
random_093,95,246,85,12445,32,1466,1498,10947,87.96303736440338
random_094,91,164,11,4475,12,534,546,3929,87.79888268156425
random_095,50,66,118,2525,16,470,486,2039,80.75247524752476
random_096,133,254,235,37865,64,3822,3886,33979,89.73722434966328
random_097,54,169,101,4745,24,738,762,3983,83.94099051633297
random_098,183,77,126,8845,16,1252,1268,7577,85.66421707179197
random_099,249,116,30,7515,8,822,830,6685,88.95542248835662
